Code,Lat,Lon,Year,ANPP,MAT,MAP,SOL,PET,AI,STN,SOC,PH,BD,CN,SILT,CLAY,ELEV,ASP,SLOPE,Formation,predictValues
94,47.32,-114.27,1976,272,7.722,323.156,4853.70144,924.87,0.3279,0.574712,7.31966,6.74542,1.56305,12.6876,42.7127,20.4948,1071,268.646,11.9718,Cool Semi-Desert Scrub & Grassland,269.9017762
95,46.4,-119.55,1969,111,11.762,193.16,5140.27296,1149.73,0.1295,0.26595,2.5349,7.1178,1.571,9.5315,44.27,13.758,386,53.4057,3.61574,Cool Semi-Desert Scrub & Grassland,101.8250857
96,46.9,-103.4,0,222,6.66667,388,4983.527726,1411,0.2749,0.62572,7.5489,6.9775,1.4707,12.064,40.961,21.317,816,62.7493,2.25117,"Temperate Grassland, Meadow & Shrubland",220.5998667
97,47.17,12.5,0,400,-1.38667,1510,4354.039954,624,2.4189,1.17396,17.0846,5.59144,0.92317,14.5606,12.0082,15.7358,2521,234.994,16.683,"Alpine Scrub, Forb Meadow & Grassland",313.1902714
98,47.22,11.33,0,344,5.407,1045,4379.516846,878,1.1903,0.994505,14.1744,4.94018,0.86976,14.714,32.4915,13.1579,1434,17.7379,16.3705,"Alpine Scrub, Forb Meadow & Grassland",341.7081667
99,47.32,-114.27,1976,278,7.722,323.156,4853.70144,924.87,0.3279,0.574712,7.31966,6.74542,1.56305,12.6876,42.7127,20.4948,1071,268.646,11.9718,Cool Semi-Desert Scrub & Grassland,269.9017762
100,46.4,-119.55,1969,72,12.8,183,5140.27296,1149.73,0.1295,0.26595,2.5349,7.1178,1.571,9.5315,44.27,13.758,386,53.4057,3.61574,Cool Semi-Desert Scrub & Grassland,92.9408
101,46.65,-99.35,1993,368,4.8,446,4480.84224,756.775,0.3687,0.92593,6.9532,7.2258,1.4732,7.5094,31.254,20.916,596,282.932,0.533367,"Temperate Grassland, Meadow & Shrubland",340.4789373
102,46.65,-99.35,1993,367,4.8,446,4480.84224,756.775,0.3687,0.92593,6.9532,7.2258,1.4732,7.5094,31.254,20.916,596,282.932,0.533367,"Temperate Grassland, Meadow & Shrubland",340.4789373
103,46.9,-102.82,1968,350,4.74,516.92,4989.28896,926.516,0.3234,0.602088,6.77896,6.69956,1.48462,11.2614,29.2052,19.3102,762,130.958,0.6086,"Temperate Grassland, Meadow & Shrubland",300.0605444
104,46.77719,9.97533,1999,43,-2.2,1600,4714.17408,335.36,1.9869,1.1646,17.3031,5.64198,0.946084,14.8569,8.9398,17.0417,2658,161.972,8.29707,"Alpine Scrub, Forb Meadow & Grassland",84.55483333
105,46.79147,9.97692,1999,89,-0.7,1600,4680.65952,361.803,1.8072,1.16999,17.6648,5.58647,0.887533,15.1217,11.0422,16.5055,2414,299.319,14.8172,"Alpine Scrub, Forb Meadow & Grassland",109.4477333
106,46.81831,9.97766,1999,94,1.1,1600,4615.62624,407.143,1.4179,1.15692,15.2337,5.53534,0.865072,13.1727,18.334,13.4615,2000,241.851,9.14796,"Alpine Scrub, Forb Meadow & Grassland",125.5532333
107,46.82676,9.97203,1999,120,1.4,1600,4602.6144,408.308,1.4292,1.17418,13.9201,5.52785,0.891624,11.8673,19.4252,13.7471,1978,270.5,17.6202,"Alpine Scrub, Forb Meadow & Grassland",136.0077333
108,46.83607,9.96617,1999,143,2.3,1600,4579.88256,417.12,1.3165,1.22519,13.9403,5.34107,0.873745,11.4064,24.0191,12.4732,1809,254.866,22.4213,"Alpine Scrub, Forb Meadow & Grassland",163.9036
109,46.51666667,-106.6333333,2010,116,7.281,393.579,5121.89568,1007.35,0.2034,0.51616,4.4478,7.449,1.4845,8.617,43.43,26.887,845,292.47,1.6927,"Temperate Grassland, Meadow & Shrubland",132.7115111
